vin	Iin10k
5.000000000000000e-002	5.904999e-014
5.195611519175846e-002	6.446232e-014
5.398875811638548e-002	7.056855e-014
5.610092271509817e-002	7.743806e-014
5.829572005899158e-002	8.520962e-014
6.057638293142941e-002	9.402201e-014
6.294627058970835e-002	1.039446e-013
6.540887371300969e-002	1.154632e-013
6.796781954392626e-002	1.283695e-013
7.062687723113770e-002	1.433575e-013
7.338996338110346e-002	1.607048e-013
7.626114782695093e-002	1.806888e-013
7.924465962305564e-002	2.040035e-013
8.234489327414339e-002	2.312039e-013
8.556641520808900e-002	2.632616e-013
8.891397050194609e-002	3.011480e-013
9.239248987111449e-002	3.458345e-013
9.600709693194003e-002	3.992640e-013
9.976311574844392e-002	4.632406e-013
1.036660786742977e-001	5.404011e-013
1.077217345015941e-001	6.337986e-013
1.119360569284169e-001	7.477352e-013
1.163152533576812e-001	8.874845e-013
1.208657740402051e-001	1.060124e-012
1.255943215754789e-001	1.274536e-012
1.305078607841267e-001	1.543488e-012
1.356136289666013e-001	1.882661e-012
1.409191465632225e-001	2.313427e-012
1.464322282312617e-001	2.865208e-012
1.521609943553859e-001	3.578249e-012
1.581138830084188e-001	4.507228e-012
1.642996623800325e-001	5.727363e-012
1.707274436916798e-001	7.346068e-012
1.774066946167875e-001	9.513779e-012
1.843472532259785e-001	1.244504e-011
1.915593424778641e-001	1.645045e-011
1.990535852767483e-001	2.198242e-011
2.068410201194250e-001	2.970846e-011
2.149331173541135e-001	4.062528e-011
2.233417960754812e-001	5.623557e-011
2.320794416806385e-001	7.883916e-011
2.411589241119649e-001	1.119965e-010
2.505936168136357e-001	1.612965e-010
2.603974164297727e-001	2.356326e-010
2.705847632732313e-001	3.493622e-010
2.811706625951739e-001	5.260131e-010
2.921707066867582e-001	8.047346e-010
3.036010978454936e-001	1.251715e-009
3.154786722400959e-001	1.980698e-009
3.278209247089887e-001	3.190452e-009
3.406460345289798e-001	5.234231e-009
3.539728921920681e-001	8.750444e-009
3.678211272298197e-001	1.491132e-008
3.822111371262992e-001	2.589914e-008
3.971641173621398e-001	4.581456e-008
4.127020926340081e-001	8.236480e-008
4.288479492954460e-001	1.497907e-007
4.456254690668716e-001	2.731556e-007
4.630593640643955e-001	4.922910e-007
4.811753131990430e-001	8.599359e-007
4.999999999999986e-001	1.428248e-006
5.195611519175831e-001	2.229654e-006
5.398875811638533e-001	3.269065e-006
5.610092271509801e-001	4.532056e-006
5.829572005899142e-001	5.997349e-006
6.057638293142924e-001	7.644740e-006
6.294627058970816e-001	9.458019e-006
6.540887371300950e-001	1.142526e-005
6.796781954392606e-001	1.353822e-005
7.062687723113748e-001	1.579151e-005
7.338996338110322e-001	1.818198e-005
7.626114782695067e-001	2.070818e-005
7.924465962305538e-001	2.336999e-005
8.234489327414312e-001	2.616831e-005
8.556641520808872e-001	2.910488e-005
8.891397050194581e-001	3.218215e-005
9.239248987111419e-001	3.540313e-005
9.600709693193971e-001	3.877137e-005
9.976311574844359e-001	4.229083e-005
1.036660786742973e+000	4.596592e-005
1.077217345015938e+000	4.980142e-005
1.119360569284165e+000	5.380243e-005
1.163152533576808e+000	5.797445e-005
1.208657740402047e+000	6.232328e-005
1.255943215754785e+000	6.685506e-005
1.305078607841263e+000	7.157626e-005
1.356136289666008e+000	7.649366e-005
1.409191465632221e+000	8.161438e-005
1.464322282312612e+000	8.694589e-005
1.521609943553854e+000	9.249597e-005
1.581138830084183e+000	9.827276e-005
1.642996623800320e+000	1.042848e-004
1.707274436916793e+000	1.105409e-004
1.774066946167869e+000	1.170502e-004
1.843472532259779e+000	1.238226e-004
1.915593424778635e+000	1.308679e-004
1.990535852767477e+000	1.381966e-004
2.068410201194244e+000	1.458195e-004
2.149331173541128e+000	1.537480e-004
2.233417960754805e+000	1.619939e-004
2.320794416806378e+000	1.705693e-004
2.411589241119641e+000	1.794870e-004
2.505936168136349e+000	1.887603e-004
2.603974164297719e+000	1.984028e-004
2.705847632732305e+000	2.084290e-004
2.811706625951731e+000	2.188536e-004
2.921707066867573e+000	2.296922e-004
3.036010978454927e+000	2.409608e-004
3.154786722400950e+000	2.526763e-004
3.278209247089877e+000	2.648558e-004
3.406460345289788e+000	2.775176e-004
3.539728921920670e+000	2.906803e-004
3.678211272298186e+000	3.043636e-004
3.822111371262980e+000	3.185876e-004
3.971641173621385e+000	3.333736e-004
4.127020926340069e+000	3.487433e-004
4.288479492954446e+000	3.647196e-004
4.456254690668702e+000	3.813261e-004
4.630593640643941e+000	3.985874e-004
4.811753131990415e+000	4.165292e-004
5.000000000000000e+000	4.351778e-004
