iin	V(vt)
5.370317963702516e-009	3.411697e-001
5.495408738576234e-009	3.417653e-001
5.623413251903479e-009	3.423609e-001
5.754399373371557e-009	3.429565e-001
5.888436553555877e-009	3.435521e-001
6.025595860743565e-009	3.441477e-001
6.165950018614808e-009	3.447433e-001
6.309573444801919e-009	3.453388e-001
6.456542290346541e-009	3.459344e-001
6.606934480075945e-009	3.465300e-001
6.760829753919803e-009	3.471256e-001
6.918309709189349e-009	3.477212e-001
7.079457843841363e-009	3.483168e-001
7.244359600749884e-009	3.489124e-001
7.413102413009158e-009	3.495080e-001
7.585775750291819e-009	3.501036e-001
7.762471166286898e-009	3.506991e-001
7.943282347242794e-009	3.512947e-001
8.128305161640971e-009	3.518903e-001
8.317637711026687e-009	3.524859e-001
8.511380382023740e-009	3.530815e-001
8.709635899560782e-009	3.536771e-001
8.912509381337430e-009	3.542726e-001
9.120108393559072e-009	3.548682e-001
9.332543007969883e-009	3.554638e-001
9.549925860214332e-009	3.560594e-001
9.772372209558078e-009	3.566550e-001
9.999999999999970e-009	3.572506e-001
1.023292992280751e-008	3.578461e-001
1.047128548050897e-008	3.584417e-001
1.071519305237603e-008	3.590373e-001
1.096478196143182e-008	3.596329e-001
1.122018454301960e-008	3.602285e-001
1.148153621496879e-008	3.608240e-001
1.174897554939526e-008	3.614196e-001
1.202264434617409e-008	3.620152e-001
1.230268770812378e-008	3.626108e-001
1.258925411794163e-008	3.632064e-001
1.288249551693130e-008	3.638019e-001
1.318256738556403e-008	3.643975e-001
1.348962882591649e-008	3.649931e-001
1.380384264602880e-008	3.655887e-001
1.412537544622749e-008	3.661842e-001
1.445439770745922e-008	3.667798e-001
1.479108388168202e-008	3.673754e-001
1.513561248436203e-008	3.679710e-001
1.548816618912476e-008	3.685665e-001
1.584893192461107e-008	3.691621e-001
1.621810097358924e-008	3.697577e-001
1.659586907437554e-008	3.703533e-001
1.698243652461738e-008	3.709489e-001
1.737800828749368e-008	3.715444e-001
1.778279410038916e-008	3.721400e-001
1.819700858609976e-008	3.727356e-001
1.862087136662860e-008	3.733312e-001
1.905460717963239e-008	3.739267e-001
1.949844599758037e-008	3.745223e-001
1.995262314968871e-008	3.751179e-001
2.041737944669520e-008	3.757134e-001
2.089296130854030e-008	3.763090e-001
2.137962089502223e-008	3.769046e-001
2.187761623949543e-008	3.775001e-001
2.238721138568330e-008	3.780957e-001
2.290867652767763e-008	3.786913e-001
2.344228815319912e-008	3.792869e-001
2.398832919019480e-008	3.798824e-001
2.454708915685019e-008	3.804780e-001
2.511886431509569e-008	3.810736e-001
2.570395782768852e-008	3.816692e-001
2.630267991895370e-008	3.822647e-001
2.691534803926903e-008	3.828603e-001
2.754228703338153e-008	3.834559e-001
2.818382931264440e-008	3.840514e-001
2.884031503126592e-008	3.846470e-001
2.951209226666371e-008	3.852426e-001
3.019951720402002e-008	3.858382e-001
3.090295432513576e-008	3.864337e-001
3.162277660168364e-008	3.870293e-001
3.235936569296267e-008	3.876249e-001
3.311311214825895e-008	3.882204e-001
3.388441561392009e-008	3.888160e-001
3.467368504525299e-008	3.894116e-001
3.548133892335737e-008	3.900071e-001
3.630780547700995e-008	3.906027e-001
3.715352290971706e-008	3.911983e-001
3.801893963205592e-008	3.917938e-001
3.890451449942786e-008	3.923894e-001
3.981071705534952e-008	3.929850e-001
4.073802778041106e-008	3.935805e-001
4.168693834703332e-008	3.941761e-001
4.265795188015904e-008	3.947717e-001
4.365158322401637e-008	3.953672e-001
4.466835921509608e-008	3.959628e-001
4.570881896148726e-008	3.965584e-001
4.677351412871957e-008	3.971539e-001
4.786300923226358e-008	3.977495e-001
4.897788193684436e-008	3.983451e-001
5.011872336272696e-008	3.989407e-001
5.128613839913621e-008	3.995362e-001
5.248074602497697e-008	4.001318e-001
5.370317963702498e-008	4.007274e-001
5.495408738576215e-008	4.013229e-001
5.623413251903459e-008	4.019185e-001
5.754399373371537e-008	4.025140e-001
5.888436553555856e-008	4.031096e-001
6.025595860743544e-008	4.037052e-001
6.165950018614788e-008	4.043007e-001
6.309573444801898e-008	4.048963e-001
6.456542290346520e-008	4.054919e-001
6.606934480075923e-008	4.060875e-001
6.760829753919780e-008	4.066830e-001
6.918309709189325e-008	4.072786e-001
7.079457843841339e-008	4.078741e-001
7.244359600749858e-008	4.084697e-001
7.413102413009132e-008	4.090653e-001
7.585775750291793e-008	4.096608e-001
7.762471166286872e-008	4.102564e-001
7.943282347242769e-008	4.108520e-001
8.128305161640945e-008	4.114476e-001
8.317637711026661e-008	4.120431e-001
8.511380382023714e-008	4.126387e-001
8.709635899560755e-008	4.132342e-001
8.912509381337402e-008	4.138298e-001
9.120108393559042e-008	4.144254e-001
9.332543007969853e-008	4.150209e-001
9.549925860214300e-008	4.156165e-001
9.772372209558046e-008	4.162121e-001
9.999999999999937e-008	4.168076e-001
1.023292992280748e-007	4.174032e-001
1.047128548050893e-007	4.179988e-001
1.071519305237600e-007	4.185943e-001
1.096478196143178e-007	4.191899e-001
1.122018454301956e-007	4.197855e-001
1.148153621496875e-007	4.203810e-001
1.174897554939522e-007	4.209766e-001
1.202264434617405e-007	4.215721e-001
1.230268770812374e-007	4.221677e-001
1.258925411794159e-007	4.227633e-001
1.288249551693126e-007	4.233589e-001
1.318256738556398e-007	4.239544e-001
1.348962882591645e-007	4.245500e-001
1.380384264602876e-007	4.251455e-001
1.412537544622745e-007	4.257411e-001
1.445439770745918e-007	4.263367e-001
1.479108388168197e-007	4.269322e-001
1.513561248436198e-007	4.275278e-001
1.548816618912471e-007	4.281234e-001
1.584893192461103e-007	4.287189e-001
1.621810097358919e-007	4.293145e-001
1.659586907437549e-007	4.299101e-001
1.698243652461733e-007	4.305056e-001
1.737800828749364e-007	4.311012e-001
1.778279410038911e-007	4.316967e-001
1.819700858609971e-007	4.322923e-001
1.862087136662855e-007	4.328879e-001
1.905460717963234e-007	4.334835e-001
1.949844599758032e-007	4.340790e-001
1.995262314968866e-007	4.346746e-001
2.041737944669515e-007	4.352701e-001
2.089296130854025e-007	4.358657e-001
2.137962089502217e-007	4.364613e-001
2.187761623949537e-007	4.370568e-001
2.238721138568323e-007	4.376524e-001
2.290867652767757e-007	4.382480e-001
2.344228815319905e-007	4.388435e-001
2.398832919019473e-007	4.394391e-001
2.454708915685012e-007	4.400347e-001
2.511886431509562e-007	4.406302e-001
2.570395782768845e-007	4.412258e-001
2.630267991895362e-007	4.418214e-001
2.691534803926895e-007	4.424169e-001
2.754228703338146e-007	4.430125e-001
2.818382931264433e-007	4.436080e-001
2.884031503126584e-007	4.442036e-001
2.951209226666363e-007	4.447992e-001
3.019951720401993e-007	4.453948e-001
3.090295432513567e-007	4.459903e-001
3.162277660168355e-007	4.465859e-001
3.235936569296258e-007	4.471814e-001
3.311311214825886e-007	4.477770e-001
3.388441561391999e-007	4.483726e-001
3.467368504525289e-007	4.489681e-001
3.548133892335727e-007	4.495637e-001
3.630780547700985e-007	4.501593e-001
3.715352290971696e-007	4.507548e-001
3.801893963205581e-007	4.513504e-001
3.890451449942775e-007	4.519460e-001
3.981071705534940e-007	4.525415e-001
4.073802778041094e-007	4.531371e-001
4.168693834703320e-007	4.537327e-001
4.265795188015892e-007	4.543282e-001
4.365158322401624e-007	4.549238e-001
4.466835921509595e-007	4.555193e-001
4.570881896148713e-007	4.561149e-001
4.677351412871943e-007	4.567105e-001
4.786300923226344e-007	4.573061e-001
4.897788193684422e-007	4.579016e-001
5.011872336272682e-007	4.584972e-001
5.128613839913606e-007	4.590927e-001
5.248074602497682e-007	4.596883e-001
