vr	I(Ir)
Step Information: Run=1  (Run: 1/500)
2.200000000000000e+000	2.202681e-004
2.250000000000000e+000	2.252742e-004
2.300000000000000e+000	2.302803e-004
2.350000000000000e+000	2.352864e-004
2.400000000000000e+000	2.402925e-004
2.449999999999999e+000	2.452986e-004
2.499999999999999e+000	2.503047e-004
2.549999999999999e+000	2.553108e-004
2.599999999999999e+000	2.603169e-004
2.649999999999999e+000	2.653229e-004
2.699999999999998e+000	2.703291e-004
2.749999999999998e+000	2.753352e-004
2.799999999999998e+000	2.803412e-004
2.849999999999998e+000	2.853473e-004
2.899999999999998e+000	2.903534e-004
2.949999999999998e+000	2.953595e-004
2.999999999999997e+000	3.003656e-004
3.049999999999997e+000	3.053717e-004
3.099999999999997e+000	3.103778e-004
3.149999999999997e+000	3.153839e-004
3.199999999999997e+000	3.203900e-004
3.249999999999996e+000	3.253961e-004
3.299999999999996e+000	3.304022e-004
3.349999999999996e+000	3.354083e-004
3.399999999999996e+000	3.404143e-004
3.449999999999996e+000	3.454205e-004
3.499999999999996e+000	3.504266e-004
3.549999999999995e+000	3.554327e-004
3.599999999999995e+000	3.604387e-004
3.649999999999995e+000	3.654448e-004
3.699999999999995e+000	3.704509e-004
3.749999999999995e+000	3.754570e-004
3.799999999999995e+000	3.804631e-004
3.849999999999994e+000	3.854692e-004
3.899999999999994e+000	3.904753e-004
3.949999999999994e+000	3.954814e-004
3.999999999999994e+000	4.004875e-004
4.049999999999994e+000	4.054936e-004
4.099999999999993e+000	4.104997e-004
4.149999999999993e+000	4.155058e-004
4.199999999999993e+000	4.205118e-004
4.249999999999993e+000	4.255180e-004
4.299999999999993e+000	4.305241e-004
4.349999999999993e+000	4.355301e-004
4.399999999999992e+000	4.405362e-004
4.449999999999992e+000	4.455423e-004
4.499999999999992e+000	4.505484e-004
4.549999999999992e+000	4.555545e-004
4.599999999999992e+000	4.605606e-004
4.649999999999992e+000	4.655667e-004
4.699999999999991e+000	4.705728e-004
4.749999999999991e+000	4.755789e-004
4.799999999999991e+000	4.805850e-004
4.849999999999991e+000	4.855911e-004
4.899999999999991e+000	4.905972e-004
4.949999999999990e+000	4.956032e-004
5.000000000000000e+000	5.006093e-004
Step Information: Run=4  (Run: 4/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	4.974426e-006
1.000000000000000e-001	9.948852e-006
1.500000000000000e-001	1.492328e-005
2.000000000000000e-001	1.989770e-005
2.500000000000000e-001	2.487213e-005
3.000000000000000e-001	2.984655e-005
3.500000000000000e-001	3.482098e-005
4.000000000000000e-001	3.979541e-005
4.500000000000000e-001	4.476983e-005
4.999999999999999e-001	4.974426e-005
5.499999999999999e-001	5.471868e-005
6.000000000000000e-001	5.969311e-005
6.500000000000000e-001	6.466753e-005
7.000000000000001e-001	6.964196e-005
7.500000000000001e-001	7.461639e-005
8.000000000000002e-001	7.959081e-005
8.500000000000002e-001	8.456524e-005
9.000000000000002e-001	8.953966e-005
9.500000000000003e-001	9.451409e-005
1.000000000000000e+000	9.948851e-005
1.050000000000000e+000	1.044629e-004
1.100000000000000e+000	1.094374e-004
1.150000000000000e+000	1.144118e-004
1.200000000000000e+000	1.193862e-004
1.250000000000000e+000	1.243606e-004
1.300000000000001e+000	1.293351e-004
1.350000000000001e+000	1.343095e-004
1.400000000000001e+000	1.392839e-004
1.450000000000001e+000	1.442583e-004
1.500000000000001e+000	1.492328e-004
1.550000000000001e+000	1.542072e-004
1.600000000000001e+000	1.591816e-004
1.650000000000001e+000	1.641561e-004
1.700000000000001e+000	1.691305e-004
1.750000000000001e+000	1.741049e-004
1.800000000000001e+000	1.790793e-004
1.850000000000001e+000	1.840537e-004
1.900000000000001e+000	1.890282e-004
1.950000000000001e+000	1.940026e-004
2.000000000000001e+000	1.989770e-004
2.050000000000001e+000	2.039515e-004
2.100000000000001e+000	2.089259e-004
2.150000000000000e+000	2.139003e-004
2.200000000000000e+000	2.188747e-004
2.250000000000000e+000	2.238492e-004
2.300000000000000e+000	2.288236e-004
2.350000000000000e+000	2.337980e-004
2.400000000000000e+000	2.387724e-004
2.449999999999999e+000	2.437469e-004
2.499999999999999e+000	2.487213e-004
2.549999999999999e+000	2.536957e-004
2.599999999999999e+000	2.586701e-004
2.649999999999999e+000	2.636446e-004
2.699999999999998e+000	2.686190e-004
2.749999999999998e+000	2.735934e-004
2.799999999999998e+000	2.785678e-004
2.849999999999998e+000	2.835423e-004
2.899999999999998e+000	2.885167e-004
2.949999999999998e+000	2.934911e-004
2.999999999999997e+000	2.984655e-004
3.049999999999997e+000	3.034400e-004
3.099999999999997e+000	3.084144e-004
3.149999999999997e+000	3.133888e-004
3.199999999999997e+000	3.183633e-004
3.249999999999996e+000	3.233377e-004
3.299999999999996e+000	3.283121e-004
3.349999999999996e+000	3.332865e-004
3.399999999999996e+000	3.382610e-004
3.449999999999996e+000	3.432354e-004
3.499999999999996e+000	3.482098e-004
3.549999999999995e+000	3.531842e-004
3.599999999999995e+000	3.581586e-004
3.649999999999995e+000	3.631331e-004
3.699999999999995e+000	3.681075e-004
3.749999999999995e+000	3.730819e-004
3.799999999999995e+000	3.780563e-004
3.849999999999994e+000	3.830308e-004
3.899999999999994e+000	3.880052e-004
3.949999999999994e+000	3.929796e-004
3.999999999999994e+000	3.979540e-004
4.049999999999994e+000	4.029285e-004
4.099999999999993e+000	4.079029e-004
4.149999999999993e+000	4.128773e-004
4.199999999999993e+000	4.178518e-004
4.249999999999993e+000	4.228262e-004
4.299999999999993e+000	4.278006e-004
4.349999999999993e+000	4.327750e-004
4.399999999999992e+000	4.377495e-004
4.449999999999992e+000	4.427239e-004
4.499999999999992e+000	4.476983e-004
4.549999999999992e+000	4.526727e-004
4.599999999999992e+000	4.576472e-004
4.649999999999992e+000	4.626216e-004
4.699999999999991e+000	4.675960e-004
4.749999999999991e+000	4.725704e-004
4.799999999999991e+000	4.775449e-004
4.849999999999991e+000	4.825193e-004
4.899999999999991e+000	4.874937e-004
4.949999999999990e+000	4.924681e-004
5.000000000000000e+000	4.974426e-004
Step Information: Run=5  (Run: 5/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	4.992379e-006
1.000000000000000e-001	9.984758e-006
1.500000000000000e-001	1.497714e-005
2.000000000000000e-001	1.996952e-005
2.500000000000000e-001	2.496189e-005
3.000000000000000e-001	2.995427e-005
3.500000000000000e-001	3.494665e-005
4.000000000000000e-001	3.993903e-005
4.500000000000000e-001	4.493141e-005
4.999999999999999e-001	4.992379e-005
5.499999999999999e-001	5.491616e-005
6.000000000000000e-001	5.990854e-005
6.500000000000000e-001	6.490092e-005
7.000000000000001e-001	6.989330e-005
7.500000000000001e-001	7.488568e-005
8.000000000000002e-001	7.987806e-005
8.500000000000002e-001	8.487044e-005
9.000000000000002e-001	8.986281e-005
9.500000000000003e-001	9.485519e-005
1.000000000000000e+000	9.984757e-005
1.050000000000000e+000	1.048399e-004
1.100000000000000e+000	1.098323e-004
1.150000000000000e+000	1.148247e-004
1.200000000000000e+000	1.198171e-004
1.250000000000000e+000	1.248095e-004
1.300000000000001e+000	1.298018e-004
1.350000000000001e+000	1.347942e-004
1.400000000000001e+000	1.397866e-004
1.450000000000001e+000	1.447790e-004
1.500000000000001e+000	1.497714e-004
1.550000000000001e+000	1.547637e-004
1.600000000000001e+000	1.597561e-004
1.650000000000001e+000	1.647485e-004
1.700000000000001e+000	1.697409e-004
1.750000000000001e+000	1.747332e-004
1.800000000000001e+000	1.797256e-004
1.850000000000001e+000	1.847180e-004
1.900000000000001e+000	1.897104e-004
1.950000000000001e+000	1.947028e-004
2.000000000000001e+000	1.996951e-004
2.050000000000001e+000	2.046875e-004
2.100000000000001e+000	2.096799e-004
2.150000000000000e+000	2.146723e-004
2.200000000000000e+000	2.196647e-004
2.250000000000000e+000	2.246570e-004
2.300000000000000e+000	2.296494e-004
2.350000000000000e+000	2.346418e-004
2.400000000000000e+000	2.396342e-004
2.449999999999999e+000	2.446265e-004
2.499999999999999e+000	2.496189e-004
2.549999999999999e+000	2.546113e-004
2.599999999999999e+000	2.596037e-004
2.649999999999999e+000	2.645960e-004
2.699999999999998e+000	2.695884e-004
2.749999999999998e+000	2.745808e-004
2.799999999999998e+000	2.795732e-004
2.849999999999998e+000	2.845656e-004
2.899999999999998e+000	2.895580e-004
2.949999999999998e+000	2.945503e-004
2.999999999999997e+000	2.995427e-004
3.049999999999997e+000	3.045351e-004
3.099999999999997e+000	3.095275e-004
3.149999999999997e+000	3.145199e-004
3.199999999999997e+000	3.195122e-004
3.249999999999996e+000	3.245046e-004
3.299999999999996e+000	3.294970e-004
3.349999999999996e+000	3.344894e-004
3.399999999999996e+000	3.394817e-004
3.449999999999996e+000	3.444741e-004
3.499999999999996e+000	3.494665e-004
3.549999999999995e+000	3.544589e-004
3.599999999999995e+000	3.594513e-004
3.649999999999995e+000	3.644436e-004
3.699999999999995e+000	3.694360e-004
