vin	V(vout)
Step Information: Run=1  (Run: 1/500)
2.200000000000000e+000	7.231322e-001
2.250000000000000e+000	7.395670e-001
2.300000000000000e+000	7.560019e-001
2.350000000000000e+000	7.724367e-001
2.400000000000000e+000	7.888715e-001
2.449999999999999e+000	8.053063e-001
2.499999999999999e+000	8.217412e-001
2.549999999999999e+000	8.381760e-001
2.599999999999999e+000	8.546108e-001
2.649999999999999e+000	8.710456e-001
2.699999999999998e+000	8.874804e-001
2.749999999999998e+000	9.039153e-001
2.799999999999998e+000	9.203501e-001
2.849999999999998e+000	9.367849e-001
2.899999999999998e+000	9.532197e-001
2.949999999999998e+000	9.696546e-001
2.999999999999997e+000	9.860894e-001
3.049999999999997e+000	1.002524e+000
3.099999999999997e+000	1.018959e+000
3.149999999999997e+000	1.035394e+000
3.199999999999997e+000	1.051829e+000
3.249999999999996e+000	1.068264e+000
3.299999999999996e+000	1.084698e+000
3.349999999999996e+000	1.101133e+000
3.399999999999996e+000	1.117568e+000
3.449999999999996e+000	1.134003e+000
3.499999999999996e+000	1.150438e+000
3.549999999999995e+000	1.166872e+000
3.599999999999995e+000	1.183307e+000
3.649999999999995e+000	1.199742e+000
3.699999999999995e+000	1.216177e+000
3.749999999999995e+000	1.232612e+000
3.799999999999995e+000	1.249047e+000
3.849999999999994e+000	1.265481e+000
3.899999999999994e+000	1.281916e+000
3.949999999999994e+000	1.298351e+000
3.999999999999994e+000	1.314786e+000
4.049999999999994e+000	1.331221e+000
4.099999999999993e+000	1.347656e+000
4.149999999999993e+000	1.364090e+000
4.199999999999993e+000	1.380525e+000
4.249999999999993e+000	1.396960e+000
4.299999999999993e+000	1.413395e+000
4.349999999999993e+000	1.429830e+000
4.399999999999992e+000	1.446264e+000
4.449999999999992e+000	1.462699e+000
4.499999999999992e+000	1.479134e+000
4.549999999999992e+000	1.495569e+000
4.599999999999992e+000	1.512004e+000
4.649999999999992e+000	1.528439e+000
4.699999999999991e+000	1.544873e+000
4.749999999999991e+000	1.561308e+000
4.799999999999991e+000	1.577743e+000
4.849999999999991e+000	1.594178e+000
4.899999999999991e+000	1.610613e+000
4.949999999999990e+000	1.627048e+000
5.000000000000000e+000	1.643482e+000
Step Information: Run=4  (Run: 4/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.670421e-002
1.000000000000000e-001	3.340843e-002
1.500000000000000e-001	5.011264e-002
2.000000000000000e-001	6.681685e-002
2.500000000000000e-001	8.352106e-002
3.000000000000000e-001	1.002253e-001
3.500000000000000e-001	1.169295e-001
4.000000000000000e-001	1.336337e-001
4.500000000000000e-001	1.503379e-001
4.999999999999999e-001	1.670421e-001
5.499999999999999e-001	1.837463e-001
6.000000000000000e-001	2.004506e-001
6.500000000000000e-001	2.171548e-001
