vin	V(vout)
Step Information: Vref=500m  (Run: 1/3)
4.349999999999993e+000	1.582602e-002
4.399999999999992e+000	1.600896e-002
4.449999999999992e+000	1.619194e-002
4.499999999999992e+000	1.637495e-002
4.549999999999992e+000	1.655801e-002
4.599999999999992e+000	1.674110e-002
4.649999999999992e+000	1.692424e-002
4.699999999999991e+000	1.710742e-002
4.749999999999991e+000	1.729064e-002
4.799999999999991e+000	1.747390e-002
4.849999999999991e+000	1.765720e-002
4.899999999999991e+000	1.784054e-002
4.949999999999990e+000	1.802393e-002
5.000000000000000e+000	1.820737e-002
Step Information: Vref=2.5  (Run: 2/3)
0.000000000000000e+000	4.981792e+000
5.000000000000000e-002	4.981976e+000
1.000000000000000e-001	4.982160e+000
1.500000000000000e-001	4.982343e+000
2.000000000000000e-001	4.982526e+000
2.500000000000000e-001	4.982709e+000
3.000000000000000e-001	4.982893e+000
3.500000000000000e-001	4.983075e+000
4.000000000000000e-001	4.983258e+000
4.500000000000000e-001	4.983441e+000
4.999999999999999e-001	4.983623e+000
5.499999999999999e-001	4.983805e+000
6.000000000000000e-001	4.983986e+000
6.500000000000000e-001	4.984166e+000
7.000000000000001e-001	4.984344e+000
7.500000000000001e-001	4.984519e+000
8.000000000000002e-001	4.984690e+000
8.500000000000002e-001	4.984853e+000
9.000000000000002e-001	4.985003e+000
9.500000000000003e-001	4.985132e+000
1.000000000000000e+000	4.985223e+000
1.050000000000000e+000	4.985244e+000
1.100000000000000e+000	4.985120e+000
1.150000000000000e+000	4.984633e+000
1.200000000000000e+000	4.982798e+000
1.250000000000000e+000	4.966541e+000
1.300000000000001e+000	4.893491e+000
1.350000000000001e+000	4.799992e+000
1.400000000000001e+000	4.699993e+000
1.450000000000001e+000	4.599993e+000
1.500000000000001e+000	4.499994e+000
1.550000000000001e+000	4.399994e+000
1.600000000000001e+000	4.299994e+000
1.650000000000001e+000	4.199995e+000
1.700000000000001e+000	4.099995e+000
1.750000000000001e+000	3.999995e+000
1.800000000000001e+000	3.899996e+000
1.850000000000001e+000	3.799996e+000
1.900000000000001e+000	3.699996e+000
1.950000000000001e+000	3.599997e+000
2.000000000000001e+000	3.499997e+000
2.050000000000001e+000	3.399997e+000
2.100000000000001e+000	3.299998e+000
2.150000000000000e+000	3.199998e+000
2.200000000000000e+000	3.099998e+000
2.250000000000000e+000	2.999999e+000
2.300000000000000e+000	2.899999e+000
2.350000000000000e+000	2.799999e+000
2.400000000000000e+000	2.699999e+000
2.449999999999999e+000	2.600000e+000
2.499999999999999e+000	2.500000e+000
2.549999999999999e+000	2.400000e+000
2.599999999999999e+000	2.300001e+000
2.649999999999999e+000	2.200001e+000
2.699999999999998e+000	2.100001e+000
2.749999999999998e+000	2.000001e+000
2.799999999999998e+000	1.900002e+000
2.849999999999998e+000	1.800002e+000
2.899999999999998e+000	1.700002e+000
2.949999999999998e+000	1.600003e+000
2.999999999999997e+000	1.500003e+000
3.049999999999997e+000	1.400003e+000
3.099999999999997e+000	1.300004e+000
3.149999999999997e+000	1.200004e+000
