vin	V(vout)
Step Information: Run=1  (Run: 1/500)
3.749999999999995e+000	4.999084e+000
3.799999999999995e+000	4.999084e+000
3.849999999999994e+000	4.999084e+000
3.899999999999994e+000	4.999085e+000
3.949999999999994e+000	4.999085e+000
3.999999999999994e+000	4.999085e+000
4.049999999999994e+000	4.999085e+000
4.099999999999993e+000	4.999085e+000
4.149999999999993e+000	4.999085e+000
4.199999999999993e+000	4.999085e+000
4.249999999999993e+000	4.999085e+000
4.299999999999993e+000	4.999085e+000
4.349999999999993e+000	4.999085e+000
4.399999999999992e+000	4.999085e+000
4.449999999999992e+000	4.999085e+000
4.499999999999992e+000	4.999085e+000
4.549999999999992e+000	4.999085e+000
4.599999999999992e+000	4.999085e+000
4.649999999999992e+000	4.999085e+000
4.699999999999991e+000	4.999085e+000
4.749999999999991e+000	4.999085e+000
4.799999999999991e+000	4.999085e+000
4.849999999999991e+000	4.999085e+000
4.899999999999991e+000	4.999085e+000
4.949999999999990e+000	4.999085e+000
5.000000000000000e+000	4.999085e+000
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	9.147426e-004
5.000000000000000e-002	9.147426e-004
1.000000000000000e-001	9.147426e-004
1.500000000000000e-001	9.147426e-004
2.000000000000000e-001	9.147426e-004
2.500000000000000e-001	9.147426e-004
3.000000000000000e-001	9.147426e-004
3.500000000000000e-001	9.147427e-004
4.000000000000000e-001	9.147427e-004
4.500000000000000e-001	9.147427e-004
4.999999999999999e-001	9.147427e-004
5.499999999999999e-001	9.147427e-004
6.000000000000000e-001	9.147427e-004
6.500000000000000e-001	9.147428e-004
7.000000000000001e-001	9.147428e-004
7.500000000000001e-001	9.147429e-004
8.000000000000002e-001	9.147433e-004
8.500000000000002e-001	9.147439e-004
9.000000000000002e-001	9.147452e-004
9.500000000000003e-001	9.147479e-004
1.000000000000000e+000	9.147534e-004
1.050000000000000e+000	9.147649e-004
1.100000000000000e+000	9.147885e-004
1.150000000000000e+000	9.148373e-004
1.200000000000000e+000	9.149381e-004
1.250000000000000e+000	9.151467e-004
1.300000000000001e+000	9.155790e-004
1.350000000000001e+000	9.164785e-004
1.400000000000001e+000	9.183657e-004
1.450000000000001e+000	9.223965e-004
1.500000000000001e+000	9.313486e-004
1.550000000000001e+000	9.542552e-004
1.600000000000001e+000	1.028291e-003
1.650000000000001e+000	2.007468e-003
1.700000000000001e+000	1.101287e-001
1.750000000000001e+000	2.594956e-001
1.800000000000001e+000	4.088626e-001
1.850000000000001e+000	5.582295e-001
1.900000000000001e+000	7.075965e-001
1.950000000000001e+000	8.569635e-001
2.000000000000001e+000	1.006330e+000
2.050000000000001e+000	1.155697e+000
2.100000000000001e+000	1.305064e+000
2.150000000000000e+000	1.454431e+000
2.200000000000000e+000	1.603798e+000
2.250000000000000e+000	1.753165e+000
2.300000000000000e+000	1.902532e+000
2.350000000000000e+000	2.051899e+000
2.400000000000000e+000	2.201266e+000
2.449999999999999e+000	2.350633e+000
2.499999999999999e+000	2.500000e+000
2.549999999999999e+000	2.649367e+000
2.599999999999999e+000	2.798734e+000
2.649999999999999e+000	2.948101e+000
2.699999999999998e+000	3.097468e+000
2.749999999999998e+000	3.246835e+000
2.799999999999998e+000	3.396202e+000
2.849999999999998e+000	3.545569e+000
2.899999999999998e+000	3.694936e+000
2.949999999999998e+000	3.844303e+000
2.999999999999997e+000	3.993670e+000
3.049999999999997e+000	4.143036e+000
3.099999999999997e+000	4.292404e+000
3.149999999999997e+000	4.441771e+000
3.199999999999997e+000	4.591137e+000
3.249999999999996e+000	4.740504e+000
3.299999999999996e+000	4.889871e+000
3.349999999999996e+000	4.997990e+000
3.399999999999996e+000	4.998972e+000
3.449999999999996e+000	4.999059e+000
3.499999999999996e+000	4.999070e+000
3.549999999999995e+000	4.999078e+000
3.599999999999995e+000	4.999082e+000
3.649999999999995e+000	4.999084e+000
3.699999999999995e+000	4.999084e+000
3.749999999999995e+000	4.999085e+000
3.799999999999995e+000	4.999085e+000
3.849999999999994e+000	4.999085e+000
3.899999999999994e+000	4.999085e+000
3.949999999999994e+000	4.999085e+000
3.999999999999994e+000	4.999085e+000
4.049999999999994e+000	4.999085e+000
4.099999999999993e+000	4.999085e+000
4.149999999999993e+000	4.999085e+000
4.199999999999993e+000	4.999085e+000
4.249999999999993e+000	4.999085e+000
4.299999999999993e+000	4.999085e+000
4.349999999999993e+000	4.999085e+000
4.399999999999992e+000	4.999085e+000
4.449999999999992e+000	4.999085e+000
4.499999999999992e+000	4.999085e+000
4.549999999999992e+000	4.999085e+000
4.599999999999992e+000	4.999085e+000
4.649999999999992e+000	4.999085e+000
4.699999999999991e+000	4.999085e+000
4.749999999999991e+000	4.999085e+000
4.799999999999991e+000	4.999085e+000
4.849999999999991e+000	4.999085e+000
4.899999999999991e+000	4.999085e+000
4.949999999999990e+000	4.999085e+000
5.000000000000000e+000	4.999085e+000
